Epoch 0024, AveLoss: nan, BestValMRR 0.6453, BestTestMRR: 0.6285, test_hit@1: 0.5754, test_hit@3: 0.6544, test_hit@10: 0.7303, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0025, AveLoss: nan, BestValMRR 0.6462, BestTestMRR: 0.6355, test_hit@1: 0.5815, test_hit@3: 0.6629, test_hit@10: 0.7347, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0026, AveLoss: nan, BestValMRR 0.6462, BestTestMRR: 0.6355, test_hit@1: 0.5815, test_hit@3: 0.6629, test_hit@10: 0.7347, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0027, AveLoss: nan, BestValMRR 0.6501, BestTestMRR: 0.6370, test_hit@1: 0.5831, test_hit@3: 0.6642, test_hit@10: 0.7375, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0028, AveLoss: nan, BestValMRR 0.6501, BestTestMRR: 0.6370, test_hit@1: 0.5831, test_hit@3: 0.6642, test_hit@10: 0.7375, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0029, AveLoss: nan, BestValMRR 0.6501, BestTestMRR: 0.6370, test_hit@1: 0.5831, test_hit@3: 0.6642, test_hit@10: 0.7375, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0030, AveLoss: nan, BestValMRR 0.6501, BestTestMRR: 0.6370, test_hit@1: 0.5831, test_hit@3: 0.6642, test_hit@10: 0.7375, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0031, AveLoss: nan, BestValMRR 0.6501, BestTestMRR: 0.6370, test_hit@1: 0.5831, test_hit@3: 0.6642, test_hit@10: 0.7375, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0032, AveLoss: nan, BestValMRR 0.6513, BestTestMRR: 0.6455, test_hit@1: 0.5927, test_hit@3: 0.6716, test_hit@10: 0.7453, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0033, AveLoss: nan, BestValMRR 0.6540, BestTestMRR: 0.6487, test_hit@1: 0.5972, test_hit@3: 0.6733, test_hit@10: 0.7452, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0034, AveLoss: nan, BestValMRR 0.6540, BestTestMRR: 0.6487, test_hit@1: 0.5972, test_hit@3: 0.6733, test_hit@10: 0.7452, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0035, AveLoss: nan, BestValMRR 0.6563, BestTestMRR: 0.6457, test_hit@1: 0.5944, test_hit@3: 0.6711, test_hit@10: 0.7424, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
